FutPrefix,MT5Symbol,TickSize,PointSize
YM,US30,1.0,0.1
ES,US500,0.25,0.1
NQ,USTEC,0.25,0.1
RTY,RUSSELL,0.10,0.1
ZB,BOND,0.03125,0.01
GC,XAUUSD,0.10,0.01
CL,XTIUSD,0.01,0.01
SI,XAGUSD,0.005,0.001
NG,XNGUSD,0.001,0.001
